1,"Trong quá trình khảo sát một mảnh đất gần bờ sông Danube, các nhà khảo cổ đã phát hiện ra một ngôi mộ từ thời kỳ đồ đá mới và cạnh đó là 140 ngôi mộ đầu thời Trung Cổ. Các đồ vật chỉ đích danh nền văn minh Corded Ware, giúp các nhà khoa học có thể hoàn thiện bức tranh về cách nền văn minh cổ đại này được mở rộng. Cùng với đó, tại tỉnh Thanh Hải, Trung Quốc vào 4000 năm trước, một trận động đất kinh hoàng đã xảy ra mà không hề báo trước, kéo theo đó là sạt lở đất nứt nẻ đổ sập. Từ những trạng thái của một số bộ xương thấy được đây là một trận động đất bất ngờ, bởi trước khi trận động đất xảy ra, họ đã tụ tập lại với nhau không hề có sự chuẩn bị. "
2,"Tính đến tối 1/6, hai trận động đất có cường độ 6,1 độ và 4,5 độ xảy ra tại thành phố Nhã An, tỉnh Tứ Xuyên đã khiến ít nhất 4 người thiệt mạng và 42 người bị thương. Cơ quan cứu trợ động đất tỉnh Tứ Xuyên, Trung Quốc ngày 3/6 cho biết thống kê sơ bộ cho thấy 14.427 người đã bị ảnh hưởng bởi trận động đất này. Lực lượng chức năng Trung Quốc đang khẩn trương triển khai công tác tìm kiếm, cứu nạn và khắc phục hậu quả. Các chuyên gia nước này cho biết, đây là trận động đất có cường độ lớn nhất trong 9 năm qua tại khu vực này, đồng thời dự báo những trận động đất lớn hơn khó có khả năng xảy ra tại đây trong những ngày gần đây. "
4,"Nghị quyết 54 sắp hết hiệu lực vào cuối năm 2022 nhưng hiện vẫn chưa có dự thảo Nghị quyết mới thay thế, dẫn đến tiềm ẩn nguy cơ trần nợ công sẽ bị hạ xuống đối với TP.HCM. TP.HCM hết room tín dụng, vướng mắc trong khâu huy động vốn vay, hiện mới giải ngân được 6% của gói 347.000 tỷ đồng hỗ trợ chương trình phục hồi và phát triển kinh tế - xã hội được Chính phủ trình Quốc hội nhằm khôi phục nhanh chuỗi sản xuất, tạo sức bật tăng trưởng. Nhiều cơ chế, chính sách của NQ 54 chưa được tận dụng triệt để dẫn tới hiệu quả chưa cao, hơn 4 năm qua thành phố không được hưởng một đồng nào từ khoản thu tiền sử dụng đất khi bán các tài sản công của các đơn vị trung ương trên địa bàn, việc cổ phần hóa các doanh nghiệp nhà nước cũng không thực hiện được do chưa có hướng dẫn cụ thể từ trung ương. Các chuyên gia đã có nhiều góp ý cho nghị quyết mới thay thế Nghị quyết 54. Thay vì xin cơ chế giải quyết những vấn đề riêng lẻ, trao quyền nhỏ giọt, cần kiến nghị cho phép HĐND TP.HCM được quyền quyết định các vấn đề quan trọng."
5,"Mỹ và Liên minh châu Âu (EU) đã lên kế hoạch cấm nhập khẩu dầu từ Nga để chặn nguồn thu quan trọng của nước này, và thực tế là các nước châu Âu đã giảm nhập khẩu dầu từ Nga trước khi lệnh cấm có hiệu lực. Tuy nhiên, Nga vẫn kiếm được nhiều tiền từ việc xuất khẩu năng lượng, nếu áp giá trần, nguồn cung dầu thô của Nga vẫn chảy ra thị trường toàn cầu, trong khi lạm phát toàn cầu đang tạo thêm sức ép cho lãnh đạo Mỹ, Anh và Pháp. Đề xuất cụ thể duy nhất là gắn giá dầu với bảo hiểm, mặc dù nghe có vẻ hợp lý, nhưng kịch bản này bị nghi ngờ sẽ gây hại cho các công ty bảo hiểm thay vì Nga. Thuyết phục Trung Quốc và Ấn Độ ủng hộ kế hoạch này cũng nói dễ hơn làm, đồng thời các nước châu Âu cũng đang chật vật để đa dạng hóa nguồn cung năng lượng nhằm giảm sự phụ thuộc vào dầu và khí đốt tự nhiên từ Nga. Bên cạnh đó, các chuyên gia cũng cho rằng Nga sẽ có hành động trả đũa và có thể khiến tình trạng thiếu hụt nguồn cung toàn cầu càng trở nên trầm trọng."
7,"Tại thị trường Việt Nam, phân khúc xe đa dụng là phân khúc khá ăn khách và có tính cạnh tranh cao. Trong số những mẫu xe thuộc phân khúc này, chiếc Suzuki Ertiga phiên bản số sàn đang có mức giá thấp nhất Việt Nam. Về ngoại thất, phần đầu xe được thiết kế với đèn pha dạng hình thang vuông công nghệ projector, đèn sương mù tạo hình hốc mới, lưới tản nhiệt mới mạ crôm. Về nội thất, xe được thiết kế với nội thất ốp nhựa vân gỗ, khởi động thông minh bằng nút bấm, và hệ thống giải trí thông tin nổi. Xe cũng được trang bị nhiều tính năng an toàn khác. Dù Suzuki Ertiga được đánh giá khá tốt khi có mức giá hấp dẫn hơn các đối thủ khác, hiệu năng vận hành và các trang bị có phần tương đương nhưng hiệu ứng truyền thông chưa đủ lớn khiến cho doanh số của mẫu MPV này chưa thật sự nổi bật."
11,"Đội Quản lý thị trường (QLTT) số 24, Cục QLTT Hà Nội cho biết, ngày 6/7, Đội đã bất ngờ kiểm tra cửa hàng kinh doanh của hộ kinh doanh P.T.N ở xóm Chùa Tổng, xã La Phù, huyện Hoài Đức, Hà Nội. Tại đây, đoàn kiểm tra phát hiện 5.100 chiếc bánh trung thu do nước ngoài sản xuất, nhãn chữ bằng tiếng nước ngoài. Tất cả đều không có hóa đơn chứng từ, do vậy Đoàn kiểm tra đã tạm giữ toàn bộ số hàng hóa trên để tiếp tục xác minh, làm rõ. Theo lãnh đạo Đội Quản lý thị trường số 24, thời điểm Tết Trung thu cận kề, thị trường bánh Trung thu tiêu thụ mạnh, chính vì vậy mà một số cơ sở kinh doanh trên địa bàn đã nhập hàng không rõ nguồn gốc xuất xứ về bán nhằm kiếm lời. Để tăng cường kiểm soát thị trường, Đội Quản lý thị trường số 24 sẽ thường xuyên kiểm tra và xử lý nghiêm các hành vi vi phạm."
13,"Cơ quan kiểm soát và phòng ngừa dịch bệnh Hàn Quốc (KDCA) ngày 8/7 cho biết nước này ghi nhận số ca nhiễm mới tăng cao và chạm ngưỡng 20.000 ca, cao gấp 2 lần so với số liệu một tuần trước đó. Chính phủ quyết định triển khai thêm 55 trạm xét nghiệm lưu động tạm thời tại khu vực Seoul và lân cận thủ đô, 15 nơi tại các địa phương còn lại. Kể từ ngày 20/7, các phòng khám sàng lọc chính thức hoạt động trở lại vào các ngày cuối tuần và cả ban đêm để đẩy nhanh tiến độ xét nghiệm các đối tượng nghi ngờ. Từ ngày 25/7, các bệnh viện, cơ sở y tế, viện dưỡng lão sẽ đình chỉ việc gặp mặt trực tiếp để ngăn chặn tình trạng lây nhiễm. Toàn bộ nhân viên y tế làm việc trong bệnh viện, cơ sở y tế, viện dưỡng lão bắt buộc phải thực hiện xét nghiệm PCR mỗi tuần một lần. Trong bối cảnh số ca nhiễm mới hàng ngày chạm ngưỡng 20.000 ca, KCDA đang xem xét việc triển khai tiêm vaccine mũi 4 cho toàn dân sau khi chứng kiến hiệu quả miễn dịch của phần lớn người dân đã giảm theo thời gian."
16,"Entertainment Weekly đưa tin trong số mới lên sóng của chương trình Red Table Talk, Jada Pinkett Smith đã lần đầu tiên lên tiếng về cái tát Will Smith dành cho Chris Rock trên sân khấu lễ trao giải Oscar 2022. Khi dẫn chương trình The Wendy Williams Show hôm 2/6 cùng Carson Kressley, Fox nghẹn ngào nói với khán giả không dễ gì để nói về chủ đề này, bởi mình quen biết cả hai ngôi sao, và họ đều là bạn diễn cũ của cô. Fox thừa nhận cô cảm thấy Pinkett Smith chưa thể hiện trọn vẹn trách nhiệm với tư cách người trong cuộc. Bên cạnh đó, Kevin Hart, bạn thân của Will Smith, nhắc đến cú tát chấn động ở Oscar lần thứ 94 khi trả lời phỏng vấn Entertainment Tonight trong buổi ra mắt phim hoạt hình DC League of Super-Pets ở Los Angeles, Mỹ ngày 14/7. ""Will đang hối lỗi. Vì vậy, đừng nên nhắc về quá khứ, hãy nhìn nhận hiện tại và cố gắng để tiến lên phía trước"", Hart chia sẻ. Nam diễn viên hy vọng Smith sớm vượt qua cú sốc bạo lực do chính mình gây ra."
17,"Phát biểu tại Kỳ họp thứ 7 diễn ra ngày 14/7, đại diện Sở Nội vụ đã lý giải nguyên nhân công chức viên chức ồ ạt xin nghỉ việc, bỏ việc trong thời gian qua chủ yếu vì thu nhập thấp và chưa ổn định, áp lực công việc, cường độ lao động tăng biên chế lại giảm, trong khi đó các chính sách thu hút của doanh nghiệp tư nhân lại rất linh hoạt. Không riêng gì công viên chức xin nghỉ việc, trong lĩnh vực y tế, trong 1,5 năm trở lại cả nước đã có gần 9.400 y bác sĩ, nhân viên y tế xin nghỉ việc, bỏ việc, riêng TP Đà Nẵng trong năm 2022 đã có 153 công viên y tế nghỉ việc. Những lý do gây nên việc này bao gồm đặc thù công việc, tiền lương và phụ cấp thấp, giai đoạn dịch bệnh kéo dài, điều kiện sinh hoạt và thời gian nghỉ ngơi hồi phục không đảm bảo. Ngoài ra, giai đoạn sau dịch, đội ngũ y bác sĩ, nhân viên y tế tình nguyện gần như bị ""lãng quên"" sau khi xuất sắc hoàn thành nhiệm vụ, gây ảnh hưởng về tâm lý và tình cảm khiến tình trạng công chức y tế nghỉ việc có xu hướng ngày càng tăng."
18,"Theo Thiếu tướng Đinh Thanh Nhàn, Công an các cấp đã có những cảnh báo người dân về các phương thức lừa đảo qua mạng. Người dân cần nêu cao tinh thần cảnh giác, thực tế các cơ quan tiến hành tố tụng không mời người dân làm việc qua điện thoại, cũng không yêu cầu người dân chuyển tiền qua các tài khoản và không yêu cầu người dân cung cấp số tài khoản. Ngoài ra, hiện nay còn xuất hiện nhiều người nước ngoài tạo lập sàn giao dịch tiền ảo, mời người dân đầu tư và đánh sập sàn để lấy tiền khi đã thu hút lượng đầu tư đến mức nào đó. Phó Giám đốc Công an TP HCM cũng đề nghị người dân khi có những cuộc điện thoại gọi đến nói rằng cơ quan công an mời làm việc, yêu cầu chuyển tiền, cung cấp số tài khoản... thì phải tắt điện thoại và báo cho cơ quan công an nơi gần nhất, hoặc qua đường dây nóng của các cơ quan chức năng."
